"result_id","description","expected_value","unit","source_script","source_output","manuscript_section","status"
"EB01","Annual cumulative calculated surface Qnet","1662.27","MJ m^-2","energy_budget_closure.py","annual_energy_budget.csv","Results 3.4","matches"
"EB02","Annual mean calculated Qnet","52.57","W m^-2","energy_budget_closure.py","annual_energy_budget.csv","Results 3.4","matches"
"EB03","Annual water-column heat-storage change","-4.75","MJ m^-2","energy_budget_closure.py","annual_energy_budget.csv","Results 3.4","matches"
"EB04","Annual mean storage tendency S","-0.15","W m^-2","energy_budget_closure.py","annual_energy_budget.csv","Results 3.4","matches"
"EB05","Annual cumulative residual","1667.02","MJ m^-2","energy_budget_closure.py","annual_energy_budget.csv","Results 3.4","matches"
"EB06","Annual mean residual","52.72","W m^-2","energy_budget_closure.py","annual_energy_budget.csv","Results 3.4","matches"
"BD01","Equivalent whole-basin residual power","13.71","kW","boundary_surface_sensitivity.py","boundary_summary.csv","Results 3.4","matches"
"BD02","Required equivalent wetted-boundary flux","30.82","W m^-2","boundary_surface_sensitivity.py","boundary_summary.csv","Results 3.4","matches"
"BD03","Concrete diagnostic minimum conductive scale","3.33","W m^-2","boundary_surface_sensitivity.py","concrete_conduction_sensitivity.csv","Discussion","matches"
"BD04","Concrete diagnostic maximum conductive scale","166.67","W m^-2","boundary_surface_sensitivity.py","concrete_conduction_sensitivity.csv","Discussion","matches"
"OAT01","Largest OAT annual Qnet change: cloud-cover scaling","10.72","W m^-2","uncertainty_sensitivity_analysis.py","Table_S1_heat_flux_parameter_sensitivity.csv","Results 3.4","matches"
"OAT02","OAT annual Qnet change: water emissivity","8.53","W m^-2","uncertainty_sensitivity_analysis.py","Table_S1_heat_flux_parameter_sensitivity.csv","Results 3.4","matches"
"OAT03","OAT annual Qnet change: CE","6.15","W m^-2","uncertainty_sensitivity_analysis.py","Table_S1_heat_flux_parameter_sensitivity.csv","Results 3.4","matches"
"OAT04","OAT scenarios preserving core seasonal rankings","26/26","scenarios","robustness_joint_uncertainty.py","core_conclusion_robustness.csv","Results 3.4","matches"
"JU01","Joint Qnet 2.5th-97.5th percentile","33.80-62.58","W m^-2","robustness_joint_uncertainty.py","joint_uncertainty_summary.csv","Results 3.4","matches"
"JU02","Joint residual 2.5th-97.5th percentile","33.95-62.73","W m^-2","robustness_joint_uncertainty.py","joint_uncertainty_summary.csv","Results 3.4","matches"
"JU03","128-corner residual envelope","20.58-74.03","W m^-2","robustness_joint_uncertainty.py","joint_corner_envelope.csv","Results 3.4","matches"
"MLD01","Threshold/interpolation combinations preserving seasonal interpretation","6/6","combinations","robustness_joint_uncertainty.py","MLD_regime_robustness.csv","Results 3.2/3.4","matches"
"MLD02","Baseline 0.2 C annual PCHIP-linear MLD MAE","0.024","m","uncertainty_sensitivity_analysis.py","interpolation_MLD_comparison.csv","Results 3.2","matches"
"MLD03","Baseline 0.2 C maximum PCHIP-linear MLD difference","0.12","m","uncertainty_sensitivity_analysis.py","interpolation_MLD_comparison.csv","Results 3.2","matches"
"RC01","Near-isothermal mixing days (final pre-dawn classification)","106","days","predawn_robustness_analysis.py","predawn_regime_count_comparison.csv","Results 3.2","matches"
"RC02","Persistent stratification days (final pre-dawn classification)","110","days","predawn_robustness_analysis.py","predawn_regime_count_comparison.csv","Results 3.2","matches"
"RC03","Diel oscillation days (final pre-dawn classification)","109","days","predawn_robustness_analysis.py","predawn_regime_count_comparison.csv","Results 3.2","matches"
"RC04","Decaying stratification days","25","days","predawn_robustness_analysis.py","predawn_regime_count_comparison.csv","Results 3.2","matches"
"RC05","Transition/unclassified days","16","days","predawn_robustness_analysis.py","predawn_regime_count_comparison.csv","Results 3.2","matches"
"RC06","Pre-dawn versus prior full-night daily agreement","364/366 (99.45%)","days","predawn_robustness_analysis.py","predawn_agreement_summary.csv","Results 3.2","matches"
"QL01","Qnet-S regression slope","0.575","dimensionless","quantitative_linkage_public.py","linkage_statistics_final.csv","Results 3.4","matches"
"QL02","Qnet-S regression intercept","-30.69","W m^-2","quantitative_linkage_public.py","linkage_statistics_final.csv","Results 3.4","matches"
"QL03","Qnet-S regression R2","0.627","dimensionless","quantitative_linkage_public.py","linkage_statistics_final.csv","Results 3.4","matches"
"QL04","Qnet-S regression RMSE","32.3","W m^-2","quantitative_linkage_public.py","linkage_statistics_final.csv","Results 3.4","matches"
"QL05","Qnet-S regression sample size","366","days","quantitative_linkage_public.py","linkage_statistics_final.csv","Results 3.4","matches"
"QL06","Full-year daytime Qnet-maximum St Spearman rho","0.643","dimensionless","quantitative_linkage_public.py","linkage_statistics_final.csv","Results 3.4","matches"
"QL07","Within-season Spearman rho range","0.248-0.856","dimensionless","quantitative_linkage_public.py","season_stratified_linkage_results.csv","Results 3.4","matches"
